SN,Filename,Runtime,Recognized,LenR,Sentence,LenS,N_RecW,RecRate,Recognized_words,MissRec_words,Sent_ws,LenS_ws,Rec_ws,LenR_ws,Correctwords_ws,Recwords_ws,RecRate_ws
S1,F01_post.wav,0.243, The programs about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,9,100.0,"the, programs, about, detectives, and, hospitals, are, my, favorites",,programs detectives hospitals favorites,4,programs detectives hospitals favorites,4,"programs, detectives, hospitals, favorites",4,100.0
S2,F01_pre.wav,0.256, The programs about detective in hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,7,77.78,"the, programs, about, hospitals, are, my, favorites","detective, in",programs detectives hospitals favorites,4,programs detective hospitals favorites,4,"programs, hospitals, favorites",3,75.0
S3,F02_post.wav,0.233, The programs about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,9,100.0,"the, programs, about, detectives, and, hospitals, are, my, favorites",,programs detectives hospitals favorites,4,programs detectives hospitals favorites,4,"programs, detectives, hospitals, favorites",4,100.0
S4,F02_pre.wav,0.235, The programs about detectives and hospitals are my favorite.,9,The programs about detectives and hospitals are my favorites,9,8,88.89,"the, programs, about, detectives, and, hospitals, are, my",favorite,programs detectives hospitals favorites,4,programs detectives hospitals favorite,4,"programs, detectives, hospitals",3,75.0
S5,F03_post.wav,0.237, The programs about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,9,100.0,"the, programs, about, detectives, and, hospitals, are, my, favorites",,programs detectives hospitals favorites,4,programs detectives hospitals favorites,4,"programs, detectives, hospitals, favorites",4,100.0
S6,F03_pre.wav,0.227, The programs about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,9,100.0,"the, programs, about, detectives, and, hospitals, are, my, favorites",,programs detectives hospitals favorites,4,programs detectives hospitals favorites,4,"programs, detectives, hospitals, favorites",4,100.0
S7,F04_post.wav,0.234, The programs about detectives and hospitals are my favorite.,9,The programs about detectives and hospitals are my favorites,9,8,88.89,"the, programs, about, detectives, and, hospitals, are, my",favorite,programs detectives hospitals favorites,4,programs detectives hospitals favorite,4,"programs, detectives, hospitals",3,75.0
S8,F04_pre.wav,0.228, The programs about detectives and hospitals are my favorite.,9,The programs about detectives and hospitals are my favorites,9,8,88.89,"the, programs, about, detectives, and, hospitals, are, my",favorite,programs detectives hospitals favorites,4,programs detectives hospitals favorite,4,"programs, detectives, hospitals",3,75.0
S9,F05_post.wav,0.251, The programs about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,9,100.0,"the, programs, about, detectives, and, hospitals, are, my, favorites",,programs detectives hospitals favorites,4,programs detectives hospitals favorites,4,"programs, detectives, hospitals, favorites",4,100.0
S10,F05_pre.wav,0.303, The programs about detectives and the hospitals are my favorites.,10,The programs about detectives and hospitals are my favorites,9,10,111.11,"the, programs, about, detectives, and, the, hospitals, are, my, favorites",,programs detectives hospitals favorites,4,programs detectives hospitals favorites,4,"programs, detectives, hospitals, favorites",4,100.0
