SN,Filename,Conditions,Subjects,Gender,Runtime,Recognized,LenR,Sentence,LenS,N_RecW,RecRate,Recognized_words,MissRec_words,Sent_ws,LenS_ws,Rec_ws,LenR_ws,Correctwords_ws,Recwords_ws,RecRate_ws
S1,F01_post.wav,POST,F01,Female,0.243, The programs about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,9,100,"the, programs, about, detectives, and, hospitals, are, my, favorites",,programs detectives hospitals favorites,4,programs detectives hospitals favorites,4,"programs, detectives, hospitals, favorites",4,100
S2,F01_pre.wav,PRE,F01,Female,0.256, The programs about detective in hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,7,77.78,"the, programs, about, hospitals, are, my, favorites","detective, in",programs detectives hospitals favorites,4,programs detective hospitals favorites,4,"programs, hospitals, favorites",3,75
S3,F02_post.wav,POST,F02,Female,0.233, The programs about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,9,100,"the, programs, about, detectives, and, hospitals, are, my, favorites",,programs detectives hospitals favorites,4,programs detectives hospitals favorites,4,"programs, detectives, hospitals, favorites",4,100
S4,F02_pre.wav,PRE,F02,Female,0.235, The programs about detectives and hospitals are my favorite.,9,The programs about detectives and hospitals are my favorites,9,8,88.89,"the, programs, about, detectives, and, hospitals, are, my",favorite,programs detectives hospitals favorites,4,programs detectives hospitals favorite,4,"programs, detectives, hospitals",3,75
S5,F03_post.wav,POST,F03,Female,0.237, The programs about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,9,100,"the, programs, about, detectives, and, hospitals, are, my, favorites",,programs detectives hospitals favorites,4,programs detectives hospitals favorites,4,"programs, detectives, hospitals, favorites",4,100
S6,F03_pre.wav,PRE,F03,Female,0.227, The programs about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,9,100,"the, programs, about, detectives, and, hospitals, are, my, favorites",,programs detectives hospitals favorites,4,programs detectives hospitals favorites,4,"programs, detectives, hospitals, favorites",4,100
S7,F04_post.wav,POST,F04,Female,0.234, The programs about detectives and hospitals are my favorite.,9,The programs about detectives and hospitals are my favorites,9,8,88.89,"the, programs, about, detectives, and, hospitals, are, my",favorite,programs detectives hospitals favorites,4,programs detectives hospitals favorite,4,"programs, detectives, hospitals",3,75
S8,F04_pre.wav,PRE,F04,Female,0.228, The programs about detectives and hospitals are my favorite.,9,The programs about detectives and hospitals are my favorites,9,8,88.89,"the, programs, about, detectives, and, hospitals, are, my",favorite,programs detectives hospitals favorites,4,programs detectives hospitals favorite,4,"programs, detectives, hospitals",3,75
S9,F05_post.wav,POST,F05,Female,0.251, The programs about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,9,100,"the, programs, about, detectives, and, hospitals, are, my, favorites",,programs detectives hospitals favorites,4,programs detectives hospitals favorites,4,"programs, detectives, hospitals, favorites",4,100
S10,F05_pre.wav,PRE,F05,Female,0.303, The programs about detectives and the hospitals are my favorites.,10,The programs about detectives and hospitals are my favorites,9,10,111.11,"the, programs, about, detectives, and, the, hospitals, are, my, favorites",,programs detectives hospitals favorites,4,programs detectives hospitals favorites,4,"programs, detectives, hospitals, favorites",4,100
S11,F06_post.wav,POST,F06,Female,0.345, The foregrounds about the tactives and half periods are my favorite.,11,The programs about detectives and hospitals are my favorites,9,6,66.67,"the, about, the, and, are, my","foregrounds, tactives, half, periods, favorite",programs detectives hospitals favorites,4,foregrounds tactives half periods favorite,5,,0,0
S12,F06_pre.wav,PRE,F06,Female,0.33, The programs about detective and half-pierge are my favorites.,10,The programs about detectives and hospitals are my favorites,9,7,77.78,"the, programs, about, and, are, my, favorites","detective, half, pierge",programs detectives hospitals favorites,4,programs detective half pierge favorites,5,"programs, favorites",2,50
S13,F07_post.wav,POST,F07,Female,0.298, The problems about detectives and hospitals are my favorites.,9,The programs about detectives and hospitals are my favorites,9,8,88.89,"the, about, detectives, and, hospitals, are, my, favorites",problems,programs detectives hospitals favorites,4,problems detectives hospitals favorites,4,"detectives, hospitals, favorites",3,75
S14,F07_pre.wav,PRE,F07,Female,0.297, The programs that allow detectives and hospital are my favorites.,10,The programs about detectives and hospitals are my favorites,9,7,77.78,"the, programs, detectives, and, are, my, favorites","that, allow, hospital",programs detectives hospitals favorites,4,programs allow detectives hospital favorites,5,"programs, detectives, favorites",3,75
