SN,Sentence
S1,"When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow."
S2,The rainbow is a division of white light into many beautiful colors.
S3,"These take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon."
S4,"There is, according to legend, a boiling pot of gold at one end."
S5,"People look, but no one ever finds it."
S6,"When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow.Throughout the centuries people have explained the rainbow in various ways."
S7,Some have accepted it as a miracle without physical explanation.
S8,To the Hebrews it was a token that there would be no more universal floods.
S9,The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain.
S10,The Norsemen considered the rainbow as a bridge over which the gods passed from earth to their home in the sky.
S11,Others have tried to explain the phenomenon physically.
S12,Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.
S13,"Since then physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows."
S14,Many complicated ideas about the rainbow have been formed.
S15,"The difference in the rainbow depends considerably upon the size of the drops, and the width of the colored band increases as the size of the drops increases."
S16,The actual primary rainbow observed is said to be the effect of super-imposition of a number of bows.
S17,"If the red of the second bow falls upon the green of the first, the result is to give a bow with an abnormally wide yellow band, since red and green light when mixed form yellow."
S18,"This is a very common type of bow, one showing mainly red and yellow, with little or no green or blue."
