ID,L1,L3,Age,L2Onset,StayOfPurpose,EngResidence,LOR,Target,Filename,Recognized,LenS,LenR,N_RecW,RecRate,Recognized_words,MissRec_words,WER,WER_lev
3,korean ,spanish,19,17,academic,usa,0.6,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean3.mp3,"Please call Stella, ask her to bring this thing with her from the store. 6 spoons of fresh snow peas, 5 sticks left of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into 3 red bags and we will go meet her when I stay at the train station.",69,71,61,88.41,"please, call, stella, ask, her, to, bring, with, her, from, the, store, spoons, of, fresh, snow, peas, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, red, bags, and, we, will, go, meet, her, at, the, train, station","this, thing, 6, 5, sticks, left, 3, when, i, stay",0.21739130434782608,0.4927536231884058
4,korean ,none,29,15,academic,usa,2.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean4.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",69,69,69,100.0,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station",,0.028985507246376812,0.028985507246376812
5,korean ,none,50,12,academic,usa,23.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean5.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five sticks of blue cheese, and maybe a snake of her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",69,68,67,97.1,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, of, blue, cheese, and, maybe, a, snake, of, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station",sticks,0.08695652173913043,0.18840579710144928
8,korean ,none,39,13,academic,usa,10.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean8.mp3,Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas. Five thick slabs of blue cheese. And maybe a snack for her brother Bob. We also need a small plastic snack and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.,69,69,69,100.0,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snack, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station",,0.10144927536231885,0.11594202898550725
23,korean ,japanese,49,12,academic,usa,5.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean23.mp3,"Please call Stella, ask her to bring these things with her from the store. 6 spoons of fresh snow peas, 5 thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and will go meet her Wednesday at the train station.",69,68,66,95.65,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, spoons, of, fresh, snow, peas, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, will, go, meet, her, wednesday, at, the, train, station","6, 5",0.10144927536231885,0.2028985507246377
28,korean ,spanish,62,13,academic,usa,17.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean28.mp3,"Please call Stella, ask her to bring these things with her from the store. Six spoons of fresh snow peas, five servings of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snack and a big toy frog for the kids. She can scoop these things into their red bag and we'll go meet her Wednesday at the train station.",69,68,64,92.75,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snack, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, red, and, we, go, meet, her, wednesday, at, the, train, station","servings, their, bag, ll",0.14492753623188406,0.3333333333333333
30,korean ,none,49,14,academic,usa,26.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean30.mp3,"스텔라 sculpt if roll paper 가게에서 literary 금토를 담아와 흰눈고기도 십 스푼 노란소�aría 반죽슬라 little 맛을 보성 journal 작은 raspberry previous LP 작동물인 조각 mumcture를 떼내서 3개의 빨간 방으로 공삼을 만들 수 있어요 다른 날, wszystko 한편으로 여지께 가서 at the train station.",69,44,4,5.8,"at, the, train, station","스텔라, sculpt, if, roll, paper, 가게에서, literary, 금토를, 담아와, 흰눈고기도, 십, 스푼, 노란소, aría, 반죽슬라, little, 맛을, 보성, journal, 작은, raspberry, previous, lp, 작동물인, 조각, mumcture를, 떼내서, 3개의, 빨간, 방으로, 공삼을, 만들, 수, 있어요, 다른, 날, wszystko, 한편으로, 여지께, 가서",0.9420289855072463,3.7971014492753623
31,korean ,none,18,7,academic,usa,2.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean31.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow, piece five thick slabs of blue cheese and maybe a snack for a brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",69,69,68,98.55,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, a, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station",piece,0.08695652173913043,0.15942028985507245
32,korean ,none,35,28,naturalistic,usa,7.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean32.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snack and a big toy frog for the kid. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",69,69,68,98.55,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snack, and, a, big, toy, frog, for, the, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station",kid,0.057971014492753624,0.07246376811594203
34,korean ,japanese,20,11,academic,usa,6.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean34.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we go meet her Wednesday at the train station.",69,68,68,98.55,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, go, meet, her, wednesday, at, the, train, station",,0.043478260869565216,0.10144927536231885
