,SN,Filename,Runtime,Recognized,LenR,Sentence,LenS,N_RecW,RecRate,Recognized_words,MissRec_words,Sent_ws,LenS_ws,Rec_ws,LenR_ws,Correctwords_ws,Recwords_ws,RecRate_ws
0,S1,SE01.wav,0.641," When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.",17,"When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.",17,17,100.0,"when, the, sunlight, strikes, raindrops, in, the, air, they, act, as, a, prism, and, form, a, rainbow",,When sunlight strikes raindrops air act prism form rainbow,9,When sunlight strikes raindrops air act prism form rainbow,9,"When, sunlight, strikes, raindrops, air, act, prism, form, rainbow",9,100.0
1,S2,SE02.wav,0.324, The rainbow is a division of white light into many beautiful colors.,12,The rainbow is a division of white light into many beautiful colors.,12,12,100.0,"the, rainbow, is, a, division, of, white, light, into, many, beautiful, colors",,The rainbow division white light many beautiful colors,8,The rainbow division white light many beautiful colors,8,"The, rainbow, division, white, light, many, beautiful, colors",8,100.0
2,S3,SE03.wav,0.397, These take the shape of a long round arch with its path high above and its two ends apparently beyond the horizon.,22,"These take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon.",22,22,100.0,"these, take, the, shape, of, a, long, round, arch, with, its, path, high, above, and, its, two, ends, apparently, beyond, the, horizon",,These take shape long round arch path high two ends apparently beyond horizon,13,These take shape long round arch path high two ends apparently beyond horizon,13,"These, take, shape, long, round, arch, path, high, two, ends, apparently, beyond, horizon",13,100.0
3,S4,SE04.wav,0.309," There is, according to legend, a boiling pot of gold at one end.",13,"There is, according to legend, a boiling pot of gold at one end.",13,13,100.0,"there, is, according, to, legend, a, boiling, pot, of, gold, at, one, end",,There according legend boiling pot gold one end,8,There according legend boiling pot gold one end,8,"There, according, legend, boiling, pot, gold, one, end",8,100.0
4,S5,SE05.wav,0.261," People look, but no one ever finds it.",8,"People look, but no one ever finds it.",8,8,100.0,"people, look, but, no, one, ever, finds, it",,People look one ever finds,5,People look one ever finds,5,"People, look, one, ever, finds",5,100.0
5,S6,SE06.wav,0.396," When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow.",26,"When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow.",26,26,100.0,"when, a, man, looks, for, something, beyond, his, reach, his, friends, say, he, is, looking, for, the, pot, of, gold, at, the, end, of, the, rainbow",,When man looks something beyond reach friends say looking pot gold end rainbow,13,When man looks something beyond reach friends say looking pot gold end rainbow,13,"When, man, looks, something, beyond, reach, friends, say, looking, pot, gold, end, rainbow",13,100.0
6,S7,SE07.wav,0.277, Throughout the centuries people have explained the rainbow in various ways.,11,Throughout the centuries people have explained the rainbow in various ways.,11,11,100.0,"throughout, the, centuries, people, have, explained, the, rainbow, in, various, ways",,Throughout centuries people explained rainbow various ways,7,Throughout centuries people explained rainbow various ways,7,"Throughout, centuries, people, explained, rainbow, various, ways",7,100.0
7,S8,SE08.wav,0.273, Some have accepted it as a miracle without physical explanation.,10,Some have accepted it as a miracle without physical explanation.,10,10,100.0,"some, have, accepted, it, as, a, miracle, without, physical, explanation",,Some accepted miracle without physical explanation,6,Some accepted miracle without physical explanation,6,"Some, accepted, miracle, without, physical, explanation",6,100.0
8,S9,SE09.wav,0.312, To the Hebrews it was a token that there would be no more universal floods.,15,To the Hebrews it was a token that there would be no more universal floods.,15,15,100.0,"to, the, hebrews, it, was, a, token, that, there, would, be, no, more, universal, floods",,To Hebrews token would universal floods,6,To Hebrews token would universal floods,6,"To, Hebrews, token, would, universal, floods",6,100.0
9,S10,SE10.wav,0.339, The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain.,19,The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain.,19,19,100.0,"the, greeks, used, to, imagine, that, it, was, a, sign, from, the, gods, to, foretell, war, or, heavy, rain",,The Greeks used imagine sign gods foretell war heavy rain,10,The Greeks used imagine sign gods foretell war heavy rain,10,"The, Greeks, used, imagine, sign, gods, foretell, war, heavy, rain",10,100.0
10,S11,SE11.wav,0.357," The Norsemen considered the rainbow as a bridge over which the gods passed from birth to their home, in the sky.",21,The Norsemen considered the rainbow as a bridge over which the gods passed from earth to their home in the sky.,21,20,95.24,"the, norsemen, considered, the, rainbow, as, a, bridge, over, which, the, gods, passed, from, to, their, home, in, the, sky",birth,The Norsemen considered rainbow bridge gods passed earth home sky,10,The Norsemen considered rainbow bridge gods passed birth home sky,10,"The, Norsemen, considered, rainbow, bridge, gods, passed, home, sky",9,90.0
11,S12,SE12.wav,0.254, Others have tried to explain the phenomenon physically.,8,Others have tried to explain the phenomenon physically.,8,8,100.0,"others, have, tried, to, explain, the, phenomenon, physically",,Others tried explain phenomenon physically,5,Others tried explain phenomenon physically,5,"Others, tried, explain, phenomenon, physically",5,100.0
12,S13,SE13.wav,0.329, Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.,17,Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.,17,17,100.0,"aristotle, thought, that, the, rainbow, was, caused, by, reflection, of, the, sun, s, rays, by, the, rain",,Aristotle thought rainbow caused reflection sun rays rain,8,Aristotle thought rainbow caused reflection sun rays rain,8,"Aristotle, thought, rainbow, caused, reflection, sun, rays, rain",8,100.0
