Q1,Q2,Major,Coding_exp_current,Coding_exp,When,LGP,Concept,Current_DL,Coding_LG,Challenges,Current_DL_Scale
No,1st,English Language & Literature,NO,NO,NO,1,"O1, O3, O4",Beginner,6,programing,4
No,3rd,English Language & Literature,NO,NO,NO,3,O1,Intermediate,4,communication,7
No,1st,English Language & Literature,NO,NO,NO,3,"O2, O3",Beginner,4,Coding,5
No,3rd,English Language & Literature,NO,NO,NO,4,"O1, O2, O3, O4, O5, O6",Beginner,4,The forms of teaching and examinations,5
No,1st,English Language & Literature,NO,NO,NO,3,O3,Intermediate,3,digital information,4
No,1st,English Language & Literature,NO,NO,NO,3,"O2, O4, O6",Beginner,4,"I want to learn how to critically sift through information and get the information I need efficiently, but I'm not interested in app development.",6
No,1st,English Language & Literature,NO,NO,NO,2,O6,Intermediate,5,I can’t understand hard words.,6
No,3rd,English Language & Literature,NO,NO,NO,3,O6,Beginner,4,Losing interests about learning new skills and getting frustrated,3
No,1st,English Language & Literature,NO,NO,NO,3,"O2, O3",Intermediate,5,the inability to keep up with unfamiliar class content.,4
No,1st,English Language & Literature,NO,YES,High_school,3,"O2, O4, O5",Beginner,4,I think it's going to be difficult,4
No,2nd,English Language & Literature,NO,NO,NO,3,"O4, O5, O6",Beginner,3,I don't have concerns,5
No,1st,English Language & Literature,NO,YES,High_school,5,O3,Intermediate,5,#NAME?,5
No,1st,English Language & Literature,NO,YES,Middle_school,3,"O1, O2, O4",Beginner,5,difficult,4
No,1st,English Language & Literature,NO,NO,NO,3,O1,Beginner,5,"I am worried that it will be difficult to handle programs such as coding and Python because I am not familiar with them. I'm afraid to try it for the first time because it's a class method and content that I haven't learned before. But if it's easy to access, I think it'll be fine. If you don't have a laptop or iPad, it will be difficult to participate in the class.",6
No,1st,English Language & Literature,NO,NO,NO,4,O3,Intermediate,2,the difficulty of keeping up with class progree,8
No,1st,English Language & Literature,NO,NO,NO,1,"O2, O3",Beginner,5,None.,2
No,1st,English Language & Literature,NO,NO,NO,2,O2,Intermediate,3,"If devices are required for class, some students may do other things with them.",3
No,1st,English Language & Literature,NO,YES,High_school,3,"O4, O6",Intermediate,6,I often don't understand the contents of the class properly in English-speaking class.,8
No,1st,English Language & Literature,NO,YES,High_school,3,O3,Beginner,6,My knowledge,3
No,1st,English Language & Literature,NO,NO,NO,4,"O2, O6",Intermediate,3,"If I rely on only digital, my metacognition and literacy skills will decrease a lot",6
No,1st,English Language & Literature,NO,YES,High_school,2,O3,Beginner,5,I'm worried that I won't be able to understand it well enough,5
No,1st,English Language & Literature,NO,NO,NO,3,"O2, O5",Intermediate,4,"I've never learned it properly, so I'm afraid I won't be able to keep up",4
No,1st,English Language & Literature,NO,YES,Middle_school,3,"O3, O4, O6",Beginner,5,.,5
No,4th,English Language & Literature,NO,YES,High_school,4,"O4, O6",Advanced,5,My biggest concern is that I am not familiar with coding.,6
No,2nd,English Language & Literature,NO,NO,NO,3,"O1, O4, O6",Intermediate,4,"Learning coding is fun. But I'm still a beginner, so I worried.",4
No,1st,English Language & Literature,NO,NO,NO,4,"O1, O4",Intermediate,5,digital literacy gap among the students,6
No,1st,English Language & Literature,NO,NO,NO,2,"O4, O6",Beginner,6,basic computational ability & coding skill,2
No,1st,English Language & Literature,NO,NO,NO,3,O3,Intermediate,4,no,4
No,3rd,English Language & Literature,NO,NO,NO,4,"O1, O2, O3, O4, O5, O6",Intermediate,4,"the forms of teaching, revision and examinations",6
No,1st,English Language & Literature,NO,NO,NO,4,O2,Intermediate,5,"gap between students and me, difficult for me",4
No,1st,English Language & Literature,NO,NO,NO,2,O1,Beginner,2,I am worried that there will be a difference between friends who learned coding in advance.,5
