Count,Fileid,Sex,Birth place,L1,L3,Age,L2Onset,StayOfPurpose,EngResidence,LOR,Target,Filename,Recognized,LenS,LenR,N_RecW,RecRate,Recognized_words,MissRec_words
1,3,Female,Seoul,korean ,spanish,19,17,academic,usa,0.6,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean3.mp3,"Please call Stella. Ask her to bring this thing with her from the store. 6 spoons of fresh snow peas, 5 sticks left of blue cheese, and maybe a snake for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into 3 red bags and we will go meet her when I stay at the train station.",69,71,61,88.41,"please, call, stella, ask, her, to, bring, with, her, from, the, store, spoons, of, fresh, snow, peas, of, blue, cheese, and, maybe, a, snake, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, red, bags, and, we, will, go, meet, her, at, the, train, station","this, thing, 6, 5, sticks, left, 3, when, i, stay"
2,4,Female,Seoul,korean ,none,29,15,academic,usa,2.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean4.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",69,69,69,100.0,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station",
3,5,Female,Seoul,korean ,none,50,12,academic,usa,23.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean5.mp3,"Please call Stella. Ask her to bring these things with her from the store. 6 spoons of fresh snow peas, 5 thick slabs of blue cheese, and maybe a snake of her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",69,69,67,97.1,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, spoons, of, fresh, snow, peas, thick, slabs, of, blue, cheese, and, maybe, a, snake, of, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station","6, 5"
4,8,Female,Seoul,korean ,none,39,13,academic,usa,10.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean8.mp3,Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas. Five thick slabs of blue cheese. And maybe a snack for her brother Bob. We also need a small plastic snack and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.,69,69,69,100.0,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snack, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station",
5,19,Female,Seoul,korean ,none,21,14,academic,usa,0.9,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean19.mp3,"Please call Stella, ask her to bring these things with her from the store. 6 spoons of fresh snow peas, 5 thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snack and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",69,69,67,97.1,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, spoons, of, fresh, snow, peas, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snack, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station","6, 5"
6,20,Female,Gyonggi,korean ,none,58,13,academic,usa,38.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean20.mp3,"Please call Stella. Ask her to bring these things with her from the store. 6 spoons of fresh snow peas, 5 thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into 3 red bags and we will go meet her Wednesday at the train station.",69,69,66,95.65,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, spoons, of, fresh, snow, peas, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station","6, 5, 3"
7,22,Female,Gyonggi,korean ,french,19,8,academic,usa,0.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean22.mp3,"Please call Stella. Ask her to bring the things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She could scoop the things into three red bags and will go meet her Wednesday at the train station.",69,68,67,97.1,"please, call, stella, ask, her, to, bring, the, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, scoop, the, things, into, three, red, bags, and, will, go, meet, her, wednesday, at, the, train, station",could
8,23,Female,Seoul,korean ,japanese,49,12,academic,usa,5.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean23.mp3,"Please call Stella, ask her to bring these things with her from the store. 6 spoons of fresh snow peas, 5 thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and will go meet her Wednesday at the train station.",69,68,66,95.65,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, spoons, of, fresh, snow, peas, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, will, go, meet, her, wednesday, at, the, train, station","6, 5"
9,25,Female,Gyonggi,korean ,japanese,34,12,academic,usa,6.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean25.mp3,"Please call Stella, ask her to bring these things with her from the store. 6 spoons of fresh snow peas, 5 thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",69,69,67,97.1,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, spoons, of, fresh, snow, peas, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station","6, 5"
10,28,Female,Seoul,korean ,spanish,62,13,academic,usa,17.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean28.mp3,"Please call Stella, ask her to bring these things with her from the store. Six spoons of fresh snow peas, five servings of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snack and a big toy frog for the kids. She can scope these things into their red bag and we'll go meet her Wednesday at the train station.",69,68,63,91.3,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snack, and, a, big, toy, frog, for, the, kids, she, can, these, things, into, red, and, we, go, meet, her, wednesday, at, the, train, station","servings, scope, their, bag, ll"
