Subjects,POST,PRE,Difference,Stimuli,Category
F01,0.1111111111111111,0.3333333333333333,0.2222222222222222,F01,Positive Change
F02,0.1111111111111111,0.1111111111111111,0.0,F02,No Difference
F03,0.1111111111111111,0.1111111111111111,0.0,F03,No Difference
F04,0.1111111111111111,0.1111111111111111,0.0,F04,No Difference
F05,0.1111111111111111,0.2222222222222222,0.1111111111111111,F05,Positive Change
F06,0.6666666666666666,0.3333333333333333,-0.3333333333333333,F06,Negative Change
F07,0.2222222222222222,0.4444444444444444,0.2222222222222222,F07,Positive Change
F08,0.3333333333333333,0.1111111111111111,-0.2222222222222222,F08,Negative Change
F09,0.2222222222222222,0.1111111111111111,-0.1111111111111111,F09,Negative Change
F10,0.4444444444444444,0.6666666666666666,0.2222222222222222,F10,Positive Change
F11,0.3333333333333333,0.1111111111111111,-0.2222222222222222,F11,Negative Change
F12,0.1111111111111111,0.1111111111111111,0.0,F12,No Difference
F13,0.1111111111111111,0.3333333333333333,0.2222222222222222,F13,Positive Change
F14,0.1111111111111111,0.1111111111111111,0.0,F14,No Difference
F15,0.2222222222222222,0.2222222222222222,0.0,F15,No Difference
M01,0.3333333333333333,0.3333333333333333,0.0,M01,No Difference
M02,0.4444444444444444,0.1111111111111111,-0.3333333333333333,M02,Negative Change
M03,0.2222222222222222,0.2222222222222222,0.0,M03,No Difference
M04,0.1111111111111111,0.2222222222222222,0.1111111111111111,M04,Positive Change
M05,0.1111111111111111,0.2222222222222222,0.1111111111111111,M05,Positive Change
M06,0.4444444444444444,0.4444444444444444,0.0,M06,No Difference
M07,0.1111111111111111,0.2222222222222222,0.1111111111111111,M07,Positive Change
M08,0.1111111111111111,0.2222222222222222,0.1111111111111111,M08,Positive Change
M09,0.2222222222222222,0.5555555555555556,0.33333333333333337,M09,Positive Change
M10,0.2222222222222222,0.3333333333333333,0.1111111111111111,M10,Positive Change
M11,0.3333333333333333,0.1111111111111111,-0.2222222222222222,M11,Negative Change
M12,0.2222222222222222,0.1111111111111111,-0.1111111111111111,M12,Negative Change
M13,0.3333333333333333,0.3333333333333333,0.0,M13,No Difference
M14,0.2222222222222222,0.1111111111111111,-0.1111111111111111,M14,Negative Change
M15,0.1111111111111111,0.3333333333333333,0.2222222222222222,M15,Positive Change
