Filename,Runtime,Recognized
SK01.wav,5.625," When the sunlight strikes raindrops in the air, you may find pumpkinjaes from the rainbow sphere."
SK02.wav,1.035, Ta rainbow EJ division of white light into many beautiful colors.
SK03.wav,5.222," T-z take the shape away long round arch, with its path high above, and its twinge apparent leaping employee'sMade"
SK04.wav,1.112," Theor is, according to legend, a building putover could at one end."
SK05.wav,4.72,making new personal
SK06.wav,2.204," When a man looks for something beyond his reach, his friends say he is looking for the man who is looking for something beyond his reach."
SK07.wav,1.06," Throughout the centuries, people have explained torembo in various ways."
SK08.wav,1.001, Some have accepted it as an empirical or physical explanation.
SK09.wav,0.841, Thank you for watching.
SK10.wav,1.235, Toe clicks used to imagine that it was a sign from Toe card to portal or heavy rain.
SK11.wav,0.867, Thank you for watching.
SK12.wav,0.945, Others have tried to explain the phenomenon physically.
SK13.wav,1.148, Alice's suit at the rainbow was caused by reflection of the sun's rays by terrain.
SK14.wav,5.799," Since then, peaches have pounded the region at reflection. How does Julia Plateau Predict your steaming ability?"
SK15.wav,1.041, Many complicated ideas about Dao Renbou have been formed.
SK16.wav,2.334, The difference in the rainbow depends considerably upon the size of the traps. The size of the traps increases as the size of the traps increases.
SK17.wav,1.262, The actual primary rainbow observed is said to be the effect of the super-inposition of a number of posts.
SK18.wav,2.45," If the red over the second ball pulls open the green over the first, the result is to keep able with an abnormally wide yellow band, since red and green light when mixed from yellow."
SK19.wav,2.114," This is a very common type of boot. Once you have made red and yellow, you need to clean up the room."
