SN,Filename,Runtime,Recognized,LenR,Sentence,LenS,N_RecW,RecRate,Recognized_words,MissRec_words,Sent_ws,LenS_ws,Rec_ws,LenR_ws,Correctwords_ws,Recwords_ws,RecRate_ws
S1,HE01.wav,0.304," When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.",17,"When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.",17,17,100.0,"when, the, sunlight, strikes, raindrops, in, the, air, they, act, as, a, prism, and, form, a, rainbow",,sunlight strikes raindrops air act prism form rainbow,8,sunlight strikes raindrops air act prism form rainbow,8,"sunlight, strikes, raindrops, air, act, prism, form, rainbow",8,100.0
S2,HE02.wav,0.244, The rainbow is a division of white light into many beautiful colors.,12,The rainbow is a division of white light into many beautiful colors.,12,12,100.0,"the, rainbow, is, a, division, of, white, light, into, many, beautiful, colors",,rainbow division white light many beautiful colors,7,rainbow division white light many beautiful colors,7,"rainbow, division, white, light, many, beautiful, colors",7,100.0
S3,HE03.wav,0.319," These take the shape of a long round arch with its path high above, and its two ends apparently beyond the horizon.",22,"These take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon.",22,22,100.0,"these, take, the, shape, of, a, long, round, arch, with, its, path, high, above, and, its, two, ends, apparently, beyond, the, horizon",,take shape long round arch path high two ends apparently beyond horizon,12,take shape long round arch path high two ends apparently beyond horizon,12,"take, shape, long, round, arch, path, high, two, ends, apparently, beyond, horizon",12,100.0
S4,HE04.wav,0.269," There is, according to a legend, a boiling pot of gold at one end.",14,"There is, according to legend, a boiling pot of gold at one end.",13,14,107.69,"there, is, according, to, a, legend, a, boiling, pot, of, gold, at, one, end",,according legend boiling pot gold one end,7,according legend boiling pot gold one end,7,"according, legend, boiling, pot, gold, one, end",7,100.0
S5,HE05.wav,0.224," People look, but no one ever finds it.",8,"People look, but no one ever finds it.",8,8,100.0,"people, look, but, no, one, ever, finds, it",,People look one ever finds,5,People look one ever finds,5,"People, look, one, ever, finds",5,100.0
S6,HE06.wav,0.352," When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow.",26,"When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow.",26,26,100.0,"when, a, man, looks, for, something, beyond, his, reach, his, friends, say, he, is, looking, for, the, pot, of, gold, at, the, end, of, the, rainbow",,man looks something beyond reach friends say looking pot gold end rainbow,12,man looks something beyond reach friends say looking pot gold end rainbow,12,"man, looks, something, beyond, reach, friends, say, looking, pot, gold, end, rainbow",12,100.0
S7,HE07.wav,0.245," Throughout the centuries, people have explained the rainbow in various ways.",11,Throughout the centuries people have explained the rainbow in various ways.,11,11,100.0,"throughout, the, centuries, people, have, explained, the, rainbow, in, various, ways",,Throughout centuries people explained rainbow various ways,7,Throughout centuries people explained rainbow various ways,7,"Throughout, centuries, people, explained, rainbow, various, ways",7,100.0
S8,HE08.wav,0.23, Some have accepted it as a miracle without physical explanation.,10,Some have accepted it as a miracle without physical explanation.,10,10,100.0,"some, have, accepted, it, as, a, miracle, without, physical, explanation",,accepted miracle without physical explanation,5,accepted miracle without physical explanation,5,"accepted, miracle, without, physical, explanation",5,100.0
S9,HE09.wav,0.276," To the Hebrews, it was a token that there would be no more universal floods.",15,To the Hebrews it was a token that there would be no more universal floods.,15,15,100.0,"to, the, hebrews, it, was, a, token, that, there, would, be, no, more, universal, floods",,Hebrews token would universal floods,5,Hebrews token would universal floods,5,"Hebrews, token, would, universal, floods",5,100.0
S10,HE10.wav,0.302, The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain.,19,The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain.,19,19,100.0,"the, greeks, used, to, imagine, that, it, was, a, sign, from, the, gods, to, foretell, war, or, heavy, rain",,Greeks used imagine sign gods foretell war heavy rain,9,Greeks used imagine sign gods foretell war heavy rain,9,"Greeks, used, imagine, sign, gods, foretell, war, heavy, rain",9,100.0
