Q1,Q2,Major,DL_level,Concept,Current_DL,Coding_LG,Challenges
No,1st,English Language & Literature,1,"A1, A3, A4",Beginner,6,programing
No,3rd,English Language & Literature,3,A1,Intermediate,4,communication
No,1st,English Language & Literature,3,"A2, A3",Beginner,4,Coding
No,3rd,English Language & Literature,4,"A1, A2, A3, A4, A5, A6",Beginner,4,The forms of teaching and examinations
No,1st,English Language & Literature,3,A3,Intermediate,3,digital information
No,1st,English Language & Literature,3,"A2, A4, A6",Beginner,4,"I want to learn how to critically sift through information and get the information I need efficiently, but I'm not interested in app development."
No,1st,English Language & Literature,2,A6,Intermediate,5,I can’t understand hard words.
No,3rd,English Language & Literature,3,A6,Beginner,4,Losing interests about learning new skills and getting frustrated
No,1st,English Language & Literature,3,"A2, A3",Intermediate,5,the inability to keep up with unfamiliar class content.
No,1st,English Language & Literature,3,"A2, A4, A5",Beginner,4,I think it's going to be difficult
No,2nd,English Language & Literature,3,"A4, A5, A6",Beginner,3,I don't have concerns
No,1st,English Language & Literature,5,A3,Intermediate,5,"-shortage of my technological/coding skills
-perhaps some students may not be interested in the topic, too."
No,1st,English Language & Literature,3,"A1, A2, A4",Beginner,5,difficult
No,1st,English Language & Literature,3,A1,Beginner,5,"I am worried that it will be difficult to handle programs such as coding and Python because I am not familiar with them. I'm afraid to try it for the first time because it's a class method and content that I haven't learned before. But if it's easy to access, I think it'll be fine. If you don't have a laptop or iPad, it will be difficult to participate in the class."
No,1st,English Language & Literature,4,A3,Intermediate,2,the difficulty of keeping up with class progree
No,1st,English Language & Literature,1,"A2, A3",Beginner,5,None.
No,1st,English Language & Literature,2,A2,Intermediate,3,"If devices are required for class, some students may do other things with them."
No,1st,English Language & Literature,3,"A4, A6",Intermediate,6,I often don't understand the contents of the class properly in English-speaking class.
No,1st,English Language & Literature,3,A3,Beginner,6,My knowledge
No,1st,English Language & Literature,4,"A2, A6",Intermediate,3,"If I rely on only digital, my metacognition and literacy skills will decrease a lot"
No,1st,English Language & Literature,2,A3,Beginner,5,I'm worried that I won't be able to understand it well enough
No,1st,English Language & Literature,3,"A2, A5",Intermediate,4,"I've never learned it properly, so I'm afraid I won't be able to keep up"
No,1st,English Language & Literature,3,"A3, A4, A6",Beginner,5,.
No,4th,English Language & Literature,4,"A4, A6",Advanced,5,My biggest concern is that I am not familiar with coding.
No,2nd,English Language & Literature,3,"A1, A4, A6",Intermediate,4,"Learning coding is fun. But I'm still a beginner, so I worried."
No,1st,English Language & Literature,4,"A1, A4",Intermediate,5,digital literacy gap among the students
No,1st,English Language & Literature,2,"A4, A6",Beginner,6,basic computational ability & coding skill
No,1st,English Language & Literature,3,A3,Intermediate,4,no
No,3rd,English Language & Literature,4,"A1, A2, A3, A4, A5, A6",Intermediate,4,"the forms of teaching, revision and examinations"
No,1st,English Language & Literature,4,A2,Intermediate,5,"gap between students and me, difficult for me"
No,1st,English Language & Literature,2,A1,Beginner,2,I am worried that there will be a difference between friends who learned coding in advance.
No,1st,English Language & Literature,4,A5,Beginner,5,I don’t know
No,1st,English Language & Literature,4,"A1, A2",Intermediate,2,I'm concerned that class will be canceled because there are no people who want to learn
No,3rd,English Language & Literature,3,A4,Intermediate,4,"Difficulty with technical terminology: Technical terms used in the field of science may not be familiar to students. If they do not understand these terms, it can be difficult for them to comprehend to the information provided in the class."
No,1st,English Language & Literature,3,"A1, A3, A5",Intermediate,5,I suspect that students may not be as interested in this topic as I thought
No,1st,English Language & Literature,3,"A4, A6",Intermediate,6,"How to devople my english level?
How to use my major in the future?"
No,1st,English Language & Literature,5,A6,Beginner,5,"I'm not quite sure what syntax is, so I'm little bit conerned of syntax."
No,4th,English Language & Literature,3,"A1, A2, A4, A6",Advanced,3,Digital learning tools that engage learners
No,1st,English Language & Literature,4,"A1, A4, A6",Beginner,4,"Personally, I lack digital understanding such as coding programs and more insufficient utilization skills, so I think the subject will be effective only when basic knowledge is installed. In order to do so, I think I need to have a lot of classes and interest in coding."
No,2nd,English Language & Literature,3,"A4, A6",Beginner,5,Learning coding is interesting but I'm worried because it's my first time learning it.
No,1st,English Language & Literature,3,"A4, A6",Beginner,4,"I’m looking forward to it if I have a class on coding, but I’m worried because I’ve never done coding at all."
No,1st,English Language & Literature,3,A6,Beginner,3,I'm worried that I might not be able to adapt to the class because I'm not used to the name of the lecture
No,1st,English Language & Literature,3,"A2, A3, A5",Intermediate,6,"If there were leveled courses, I would like to see an indication of the level of digital literacy required of students at each level."
No,1st,English Language & Literature,4,"A4, A5",Advanced,2,"I'm completely new to coding and programming, and I'm worried that I won't be able to keep up with the other students and get a good enough grade. Coding and programming are done on our own compute(in school)r, and I'm not sure how it will be able to give each student the attention they need to make the class run smoothly."
No,1st,English Language & Literature,2,A1,Intermediate,4,정확한 정보를 효율적으로 얻을 수 있다.
NO,1st,English Language & Literature,2,A1,Intermediate,3,My biggest concern is my test scores.
NO,1st,English Language & Literature,3,"A2, A5, A6",Intermediate,5,"To learn coding skills to create and develop software programs, websites, and other digital applications."
YES,3rd,English Language & Literature,3,A3,Intermediate,2,Nothing
NO,1st,English Education,3,A1,Intermediate,3,Grammar
YES,2nd,English Language & Literature,3,A4,Beginner,4,English grammar
YES,2nd,English Language & Literature,2,"A1, A4",Intermediate,3,encountering coding that you've never encountered before
YES,2nd,English Language & Literature,3,A6,Beginner,6,Coding was harder than I thought.
