,SN,Filename,Runtime,Sentence,Recognized,NWord,RecWord,RecRate,Missingwords
0,S1,SK01.wav,2.013,"When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow."," When the workloade is contributing to this stream, All these correlations underlying cold water treatment will turn from around 20.""",17,20,11.76470588235294,workloade is contributing to this stream all these correlations underlying cold water treatment will turn from around 20
1,S2,SK02.wav,1.05,The rainbow is a division of white light into many beautiful colors., You don't need to worry I turn off.,12,9,0.0,you don t need to worry i turn off
2,S3,SK03.wav,2.445,"These take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon.", It'll take about about 1ft 3 feet wide equal weight 14 scale with your original Pyjour review.,22,18,9.090909090909092,it ll about about 1ft 3 feet wide equal weight 14 scale your original pyjour review
3,S4,SK04.wav,1.154,"There is, according to legend, a boiling pot of gold at one end.", Everyone needs to see the output! Keep Revolution. will take one end there.,13,13,30.76923076923077,everyone needs see the output keep revolution will take
4,S5,SK05.wav,0.251,"People look, but no one ever finds it.", People look for no one ever paying attention.,8,8,62.5,for paying attention
5,S6,SK06.wav,2.54,"When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow."," When A-man looks up for something beyond his reach, he's a plan to say he is looking Joining Porto opportunities with the Boom.",26,25,61.53846153846154,up s plan to joining porto opportunities with boom
6,S7,SK07.wav,0.282,Throughout the centuries people have explained the rainbow in various ways.," Throughout the centuries, people have explained the tolerable in various ways.",11,11,90.9090909090909,tolerable
7,S8,SK08.wav,0.282,Some have accepted it as a miracle without physical explanation., Some have accepted the ASU in the local video physical explanation.,10,11,50.0,the asu in the local video
8,S9,SK09.wav,0.91,To the Hebrews it was a token that there would be no more universal floods.,determination in order to protect ten DIDN'T,15,8,6.666666666666667,determination in order protect ten didn t
9,S10,SK10.wav,0.571,The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain.," Torquilix, you do two image and edit what you assign from Torquil to portal over heavy lane.",19,17,15.789473684210526,torquilix you do two image and edit what you assign torquil portal over lane
10,S11,SK11.wav,0.94,The Norsemen considered the rainbow as a bridge over which the gods passed from earth to their home in the sky., Time to spread Vbs grip,21,5,4.761904761904762,time spread vbs grip
11,S12,SK12.wav,0.255,Others have tried to explain the phenomenon physically., I also have tried to explain the phenomenon physically.,8,9,87.5,i also
12,S13,SK13.wav,0.354,Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain., Aristrasotate lainbo was equipped by reflection of the sun's rays by the lain.,17,14,58.82352941176471,aristrasotate lainbo equipped lain
13,S14,SK14.wav,1.761,"Since then physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows."," Since then, Simplified is",19,4,15.789473684210526,simplified
14,S15,SK15.wav,0.576,Many complicated ideas about the rainbow have been formed., Many complicated ideas about the rainbow have been pointed.,9,9,88.88888888888889,pointed
15,S16,SK16.wav,0.641,"The difference in the rainbow depends considerably upon the size of the drops, and the width of the colored band increases as the size of the drops increases.", The difference in the rainbow depends considerably open the sides without wraps. And that all is so without color and the increased jay is so without size without wraps increased jay.,28,31,42.857142857142854,open sides without wraps that all is so without color increased jay is so without without wraps increased jay
16,S17,SK17.wav,1.23,The actual primary rainbow observed is said to be the effect of super-imposition of a number of bows., Dark- 83mm,19,2,0.0,dark 83mm
17,S18,SK18.wav,1.836,"If the red of the second bow falls upon the green of the first, the result is to give a bow with an abnormally wide yellow band, since red and green light when mixed form yellow.", You can run faster technicians with an option roadsim From action And progress But there is more gates You can use ultra-,36,22,11.11111111111111,you can run faster technicians option roadsim from action progress but there more gates you can use ultra
18,S19,SK19.wav,7.232,"This is a very common type of bow, one showing mainly red and yellow, with little or no green or blue.", Victoryfile Core XCacleemon gasp cheating I will show you the video. I will show you the video. I will show you the video.,21,23,0.0,victoryfile core xcacleemon gasp cheating i will show you the video i will show you the video i will show you the video
