SN,Filename,Runtime,Recognized,LenR,Sentence,LenS,N_RecW,RecRate,Recognized_words,MissRec_words,Sent_ws,LenS_ws,Rec_ws,LenR_ws,Correctwords_ws,Recwords_ws,RecRate_ws
S1,SK01.wav,1.851, Transcript Percy necessary,3,"When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.",17,0,0.0,,"transcript, percy, necessary",sunlight strikes raindrops air act prism form rainbow,8,Transcript Percy necessary,3,,0,0.0
S2,SK02.wav,1.384," again, the 48m be the tighten on all medium steel and",11,The rainbow is a division of white light into many beautiful colors.,12,2,16.67,"the, the","again, 48m, be, tighten, on, all, medium, steel, and",rainbow division white light many beautiful colors,7,48m tighten medium steel,4,,0,0.0
S3,SK03.wav,3.345," It is only time for people to go home and even once you speak from your mind, you don't soon.",21,"These take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon.",22,1,4.55,and,"it, is, only, time, for, people, to, go, home, even, once, you, speak, from, your, mind, you, don, t, soon",take shape long round arch path high two ends apparently beyond horizon,12,time people go home even speak mind soon,8,,0,0.0
S4,SK04.wav,1.169,Net59 unhind his himself authentically which will remain and do it.,11,"There is, according to legend, a boiling pot of gold at one end.",13,0,0.0,,"net59, unhind, his, himself, authentically, which, will, remain, and, do, it",according legend boiling pot gold one end,7,Net59 unhind authentically remain,4,,0,0.0
S5,SK05.wav,0.253, People look for no one ever paying attention.,8,"People look, but no one ever finds it.",8,5,62.5,"people, look, no, one, ever","for, paying, attention",People look one ever finds,5,People look one ever paying attention,6,"People, look, one, ever",4,80.0
S6,SK06.wav,2.697," When A-man looks up for something beyond his reach, he's a plan to say he is looking Looks like the",22,"When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow.",26,17,65.38,"when, a, man, looks, for, something, beyond, his, reach, he, a, say, he, is, looking, looks, the","up, s, plan, to, like",man looks something beyond reach friends say looking pot gold end rainbow,12,man looks something beyond reach plan say looking Looks like,10,"man, looks, something, beyond, reach, say, looking",7,58.33
S7,SK07.wav,0.286," Throughout the centuries, people have explained the tolerable in various ways.",11,Throughout the centuries people have explained the rainbow in various ways.,11,10,90.91,"throughout, the, centuries, people, have, explained, the, in, various, ways",tolerable,Throughout centuries people explained rainbow various ways,7,Throughout centuries people explained tolerable various ways,7,"Throughout, centuries, people, explained, various, ways",6,85.71
S8,SK08.wav,0.285, Some have accepted the ASU in the local video physical explanation.,11,Some have accepted it as a miracle without physical explanation.,10,5,50.0,"some, have, accepted, physical, explanation","the, asu, in, the, local, video",accepted miracle without physical explanation,5,accepted ASU local video physical explanation,6,"accepted, physical, explanation",3,60.0
S9,SK09.wav,0.895, An August 2015 feather rival turK,6,To the Hebrews it was a token that there would be no more universal floods.,15,0,0.0,,"an, august, 2015, feather, rival, turk",Hebrews token would universal floods,5,August 2015 feather rival turK,5,,0,0.0
S10,SK10.wav,0.57," Torquilix, you do two image and edit what you assign from Torquil to portal over heavy lane.",17,The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain.,19,3,15.79,"from, to, heavy","torquilix, you, do, two, image, and, edit, what, you, assign, torquil, portal, over, lane",Greeks used imagine sign gods foretell war heavy rain,9,Torquilix two image edit assign Torquil portal heavy lane,9,heavy,1,11.11
S11,SK11.wav,2.874,  tackling no other person. kai,5,The Norsemen considered the rainbow as a bridge over which the gods passed from earth to their home in the sky.,21,0,0.0,,"tackling, no, other, person, kai",Norsemen considered rainbow bridge gods passed earth home sky,9,tackling person kai,3,,0,0.0
S12,SK12.wav,0.262, I also have tried to explain the phenomenon physically.,9,Others have tried to explain the phenomenon physically.,8,7,87.5,"have, tried, to, explain, the, phenomenon, physically","i, also",Others tried explain phenomenon physically,5,also tried explain phenomenon physically,5,"tried, explain, phenomenon, physically",4,80.0
S13,SK13.wav,0.352, Aristrasotate lainbo was equipped by reflection of the sun's rays by the lain.,14,Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.,17,10,58.82,"was, by, reflection, of, the, sun, s, rays, by, the","aristrasotate, lainbo, equipped, lain",Aristotle thought rainbow caused reflection sun rays rain,8,Aristrasotate lainbo equipped reflection sun rays lain,7,"reflection, sun, rays",3,37.5
S14,SK14.wav,2.451," Since then, faces turbulent woods are explicitly connected. Partly reflection by a Vicki's START OF FEINTS",17,"Since then physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows.",19,4,21.05,"since, then, reflection, by","faces, turbulent, woods, are, explicitly, connected, partly, a, vicki, s, start, of, feints",Since physicists found reflection refraction raindrops causes rainbows,8,Since faces turbulent woods explicitly connected Partly reflection Vicki START FEINTS,11,"Since, reflection",2,25.0
S15,SK15.wav,1.011, Many complicated ideas about theescalle involve Strikes in Pearl,9,Many complicated ideas about the rainbow have been formed.,9,4,44.44,"many, complicated, ideas, about","theescalle, involve, strikes, in, pearl",Many complicated ideas rainbow formed,5,Many complicated ideas theescalle involve Strikes Pearl,7,"Many, complicated, ideas",3,60.0
S16,SK16.wav,0.65, The difference in the rainbow depends considerably open the sides without wraps. And that all is so without color and the increased jay is so without size without wraps increased jay.,31,"The difference in the rainbow depends considerably upon the size of the drops, and the width of the colored band increases as the size of the drops increases.",28,12,42.86,"the, difference, in, the, rainbow, depends, considerably, the, and, and, the, size","open, sides, without, wraps, that, all, is, so, without, color, increased, jay, is, so, without, without, wraps, increased, jay",difference rainbow depends considerably upon size drops width colored band increases size drops increases,14,difference rainbow depends considerably open sides without wraps without color increased jay without size without wraps increased jay,18,"difference, rainbow, depends, considerably, size, size",6,42.86
S17,SK17.wav,1.235,..,0,The actual primary rainbow observed is said to be the effect of superimposition of a number of bows.,18,0,0.0,"the, difference, in, the, rainbow, depends, considerably, the, and, and, the, size","open, sides, without, wraps, that, all, is, so, without, color, increased, jay, is, so, without, without, wraps, increased, jay",actual primary rainbow observed said effect superimposition number bows,9,,0,,0,0.0
S18,SK18.wav,3.08," If the whetchen Cannon will be positioned, the Fresnel will suddenly be",12,"If the red of the second bow falls upon the green of the first, the result is to give a bow with an abnormally wide yellow band, since red and green light when mixed form yellow.",36,3,8.33,"if, the, the","whetchen, cannon, will, be, positioned, fresnel, will, suddenly, be",red second bow falls upon green first result give bow abnormally wide yellow band since red green light mixed form yellow,21,whetchen Cannon positioned Fresnel suddenly,5,,0,0.0
