,SN,Filename,Runtime,Sentence,Recognized,NWord,RecWord,RecRate,Missingwords
0,S1,SK01.wav,5.625,"When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow."," When the sunlight strikes raindrops in the air, you may find pumpkinjaes from the rainbow sphere.",17,16,58.82352941176471,you may find pumpkinjaes from sphere
1,S2,SK02.wav,1.035,The rainbow is a division of white light into many beautiful colors., Ta rainbow EJ division of white light into many beautiful colors.,12,11,75.0,ta ej
2,S3,SK03.wav,5.222,"These take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon."," T-z take the shape away long round arch, with its path high above, and its twinge apparent leaping employee'sMade",22,21,59.09090909090909,t z away twinge apparent leaping employee smade
3,S4,SK04.wav,1.112,"There is, according to legend, a boiling pot of gold at one end."," Theor is, according to legend, a building putover could at one end.",13,12,61.53846153846154,theor building putover could
4,S5,SK05.wav,4.72,"People look, but no one ever finds it.",making new personal,8,3,0.0,making new personal
5,S6,SK06.wav,2.204,"When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow."," When a man looks for something beyond his reach, his friends say he is looking for the man who is looking for something beyond his reach.",26,26,96.15384615384616,who
6,S7,SK07.wav,1.06,Throughout the centuries people have explained the rainbow in various ways.," Throughout the centuries, people have explained torembo in various ways.",11,10,81.81818181818183,torembo
7,S8,SK08.wav,1.001,Some have accepted it as a miracle without physical explanation., Some have accepted it as an empirical or physical explanation.,10,10,70.0,an empirical or
8,S9,SK09.wav,0.841,To the Hebrews it was a token that there would be no more universal floods., Thank you for watching.,15,4,0.0,thank you for watching
9,S10,SK10.wav,1.235,The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain., Toe clicks used to imagine that it was a sign from Toe card to portal or heavy rain.,19,18,68.42105263157895,toe clicks toe card portal
10,S11,SK11.wav,0.867,The Norsemen considered the rainbow as a bridge over which the gods passed from earth to their home in the sky., Thank you for watching.,21,4,0.0,thank you for watching
11,S12,SK12.wav,0.945,Others have tried to explain the phenomenon physically., Others have tried to explain the phenomenon physically.,8,8,100.0,
12,S13,SK13.wav,1.148,Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain., Alice's suit at the rainbow was caused by reflection of the sun's rays by terrain.,17,17,76.47058823529412,alice suit at terrain
13,S14,SK14.wav,5.799,"Since then physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows."," Since then, peaches have pounded the region at reflection. How does Julia Plateau Predict your steaming ability?",19,17,26.31578947368421,peaches pounded region at how does julia plateau predict your steaming ability
14,S15,SK15.wav,1.041,Many complicated ideas about the rainbow have been formed., Many complicated ideas about Dao Renbou have been formed.,9,9,77.77777777777779,dao renbou
15,S16,SK16.wav,2.334,"The difference in the rainbow depends considerably upon the size of the drops, and the width of the colored band increases as the size of the drops increases.", The difference in the rainbow depends considerably upon the size of the traps. The size of the traps increases as the size of the traps increases.,28,26,82.14285714285714,traps traps traps
16,S17,SK17.wav,1.262,The actual primary rainbow observed is said to be the effect of super-imposition of a number of bows., The actual primary rainbow observed is said to be the effect of the super-inposition of a number of posts.,19,20,94.73684210526315,inposition posts
17,S18,SK18.wav,2.45,"If the red of the second bow falls upon the green of the first, the result is to give a bow with an abnormally wide yellow band, since red and green light when mixed form yellow."," If the red over the second ball pulls open the green over the first, the result is to keep able with an abnormally wide yellow band, since red and green light when mixed from yellow.",36,35,75.0,over ball pulls open over keep able from
18,S19,SK19.wav,2.114,"This is a very common type of bow, one showing mainly red and yellow, with little or no green or blue."," This is a very common type of boot. Once you have made red and yellow, you need to clean up the room.",21,22,47.61904761904761,boot once you have made you need to clean up the room
